frame,view,player_idx,global_id,relative_x,relative_y
0,A,0,0,0.7601058006286621,0.7652325100368924
0,A,1,1,0.7285175005594889,0.44556653058087387
0,A,2,2,0.6859652837117513,0.2680932645444517
0,B,0,3,0.17742903232574464,0.5170724939416956
0,B,1,4,0.9024456024169922,0.326210700141059
0,B,2,5,0.6013940175374349,0.4739646487765842
0,B,3,6,0.4938000202178955,0.20611445109049478
0,B,4,7,0.48023262023925783,0.5614283243815105
0,B,5,8,0.5989806493123372,0.34599346584743923
0,B,6,9,0.8736776351928711,0.4562371995713976
0,B,7,10,0.6842387517293295,0.7868732028537326
0,B,8,2,0.1960692087809245,0.3756176136158131
0,B,9,11,0.18744516372680664,0.7789979722764757
0,B,10,12,0.15778110027313233,0.4444504631890191
0,B,11,1,0.39231114387512206,0.34710715964988426
0,B,12,13,0.40970099767049156,0.39477301703559026
0,B,13,14,0.4938056945800781,0.27552176581488713
0,B,14,15,0.5409154891967773,0.15828893449571396
0,B,15,16,0.4528160095214844,0.2439308590359158
0,B,16,17,0.24202628135681153,0.2210973103841146
0,B,17,18,0.775419044494629,0.2299305386013455
0,B,18,19,0.30013955434163414,0.11017864015367296
0,B,19,20,0.4705039978027344,0.1579318364461263
0,B,20,21,0.4799184799194336,0.16875180138481988
0,B,21,22,0.2522045850753784,0.09063338173760307
1,A,0,0,0.7619906743367513,0.6965187355324074
1,A,1,2,0.6803264617919922,0.2725037044949002
1,B,0,23,0.4772515773773193,0.562666998969184
1,B,1,24,0.1773605505625407,0.5174769083658854
1,B,2,25,0.4090385437011719,0.39293212890625
1,B,3,2,0.19727555910746256,0.3744075351291233
1,B,4,26,0.9018600463867188,0.3262667479338469
1,B,5,27,0.2411245584487915,0.22008390779848452
1,B,6,28,0.6007701873779296,0.4735228079336661
1,B,7,29,0.4933319091796875,0.20634163750542533
1,B,8,0,0.5986811955769856,0.346864742702908
1,B,9,30,0.8748012542724609,0.45643047756618926
1,B,10,31,0.3917654196421305,0.34674181055139613
1,B,11,32,0.1577955961227417,0.44403018244990594
1,B,12,33,0.18590965270996093,0.7779976738823785
1,B,13,34,0.4513838768005371,0.24522136405662254
1,B,14,35,0.7758060455322265,0.23000081380208334
1,B,15,36,0.4934889316558838,0.275591066148546
1,B,16,37,0.6847846984863282,0.7870513916015625
1,B,17,38,0.5379703521728516,0.15837733657271774
1,B,18,39,0.46921453475952146,0.1581923520123517
1,B,19,40,0.2506455898284912,0.0893337885538737
1,B,20,41,0.47977800369262696,0.16986800299750435
1,B,21,42,0.2988846778869629,0.1102561526828342
2,A,0,0,0.7354679743448893,0.6791049533420139
2,A,1,5,0.6285797754923502,0.4897188963713469
2,A,2,1,0.6737108866373698,0.485210602371781
2,A,3,13,0.4986229578653971,0.39169752332899305
